"statename","warid","name","side","startmonth","startday","startyear","endmonth","endday","endyear","locationid","initiator","outcome","death","lat","long"
"France",1,"Franco-Spanish War",1,4,7,1823,11,13,1823,2,1,1,400,"46.227638","2.213749"
"Spain",1,"Franco-Spanish War",2,4,7,1823,11,13,1823,2,2,2,600,"40.463667","-3.74922"
"Ottoman Empire",4,"First Russo-Turkish",2,4,26,1828,9,14,1829,11,2,2,80000,"41.0039643","28.4517462"
"Russia",4,"First Russo-Turkish",1,4,26,1828,9,14,1829,11,1,1,50000,"61.52401","105.318756"
"Mexico",7,"Mexican-American",2,4,25,1846,9,14,1847,1,2,2,6000,"23.634501","-102.552784"
"United States of America",7,"Mexican-American",1,4,25,1846,9,14,1847,1,1,1,13283,"38.899265","-77.1546508"
"Austria",10,"Austro-Sardinian",1,3,24,1848,8,9,1848,2,2,1,3927,"47.516231","14.550072"
"Italy",10,"Austro-Sardinian",2,3,24,1848,8,9,1848,2,1,2,3400,"41.87194","12.56738"
"Tuscany",10,"Austro-Sardinian",2,3,29,1848,8,9,1848,2,2,2,100,"43.3500235","9.9079493"
"Modena",10,"Austro-Sardinian",2,4,9,1848,8,9,1848,2,2,2,100,"44.6501557","10.8516923"
"Denmark",13,"First Schleswig-Holstein",2,4,10,1848,8,26,1848,2,2,2,3500,"56.26392","9.501785"
"Prussia",13,"First Schleswig-Holstein",1,4,10,1848,8,26,1848,2,1,1,2500,"52.5072111","13.1459682"
"France",16,"Roman Republic",1,4,30,1849,7,2,1849,2,1,1,1000,"46.227638","2.213749"
"Papal States",16,"Roman Republic",2,4,30,1849,7,2,1849,2,2,2,1400,"41.9097306","12.2558141"
"Austria",16,"Roman Republic",1,5,8,1849,7,2,1849,2,2,1,100,"47.516231","14.550072"
"Two Sicilies",16,"Roman Republic",1,5,8,1849,7,2,1849,2,2,1,100,"38.1404022","13.2172042"
"Argentina",19,"La Plata",2,7,19,1851,2,3,1852,1,2,2,800,"-38.416097","-63.616672"
"Brazil",19,"La Plata",1,7,19,1851,2,3,1852,1,1,1,500,"-14.235004","-51.92528"
"Russia",22,"Crimean",2,10,23,1853,3,1,1856,2,2,2,100000,"61.52401","105.318756"
"Turkey",22,"Crimean",1,10,23,1853,3,1,1856,2,1,1,45000,"38.963745","35.243322"
"France",22,"Crimean",1,3,31,1854,3,1,1856,2,2,1,95000,"46.227638","2.213749"
"United Kingdom",22,"Crimean",1,3,31,1854,3,1,1856,2,2,1,22000,"55.378051","-3.435973"
"Italy",22,"Crimean",1,1,10,1855,3,1,1856,2,2,1,2200,"41.87194","12.56738"
"Iran",25,"Anglo-Persian",2,10,25,1856,4,5,1857,6,2,2,1500,"32.427908","53.688046"
"United Kingdom",25,"Anglo-Persian",1,10,25,1856,4,5,1857,6,1,1,500,"55.378051","-3.435973"
"Austria",28,"Italian Unification",2,4,29,1859,7,12,1859,2,1,2,12500,"47.516231","14.550072"
"Sardinia/Piedmont",28,"Italian Unification",1,4,29,1859,7,12,1859,2,2,1,2500,"45.0700534","7.5300058"
"France",28,"Italian Unification",1,5,3,1859,7,12,1859,2,2,1,7500,"46.227638","2.213749"
"Morocco",31,"First Spanish-Moroccan",2,10,22,1859,3,25,1860,6,2,2,6000,"31.791702","-7.09262"
"Spain",31,"First Spanish-Moroccan",1,10,22,1859,3,25,1860,6,1,1,4000,"40.463667","-3.74922"
"Papal States",34,"Italian-Roman",2,9,11,1860,9,29,1860,2,2,2,700,"41.9097306","12.2558141"
"Sardinia/Piedmont",34,"Italian-Roman",1,9,11,1860,9,29,1860,2,1,1,300,"45.0700534","7.5300058"
"Sardinia/Piedmont",37,"Neapolitan",1,10,15,1860,2,13,1861,2,1,1,600,"45.0700534","7.5300058"
"Two Sicilies",37,"Neapolitan",2,10,15,1860,2,13,1861,2,2,2,400,"38.1404022","13.2172042"
"France",40,"Franco-Mexican",2,4,16,1862,2,5,1867,1,1,4,8000,"46.227638","2.213749"
"Mexico",40,"Franco-Mexican",1,4,16,1862,2,5,1867,1,2,4,12000,"23.634501","-102.552784"
"Colombia",43,"Ecuadorian-Colombian",1,11,22,1863,12,6,1863,1,1,1,300,"4.570868","-74.297333"
"Ecuador",43,"Ecuadorian-Colombian",2,11,22,1863,12,6,1863,1,2,2,700,"-1.831239","-78.183406"
"Austria",46,"Second Schleswig-Holstein",1,2,1,1864,4,25,1864,2,2,1,500,"47.516231","14.550072"
"Denmark",46,"Second Schleswig-Holstein",2,2,1,1864,4,25,1864,2,2,2,2933,"56.26392","9.501785"
"Germany",46,"Second Schleswig-Holstein",1,2,1,1864,4,25,1864,2,1,1,1048,"51.165691","10.451526"
"Brazil",49,"Lopez",1,11,12,1864,3,1,1870,1,2,1,100000,"-14.235004","-51.92528"
"Paraguay",49,"Lopez",2,11,12,1864,3,1,1870,1,1,2,200000,"-23.442503","-58.443832"
"Argentina",49,"Lopez",1,3,5,1865,3,1,1870,1,2,1,10000,"-38.416097","-63.616672"
"Chile",52,"Naval War",1,9,25,1865,5,9,1866,1,2,1,100,"-35.675147","-71.542969"
"Spain",52,"Naval War",2,9,25,1865,5,9,1866,1,1,2,300,"40.463667","-3.74922"
"Peru",52,"Naval War",1,1,14,1866,5,9,1866,1,2,1,600,"-9.189967","-75.015152"
"Austria",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,28000,"47.516231","14.550072"
"Baden",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,100,"48.5736354","7.177874"
"Bavaria",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,500,"48.8956655","9.1652866"
"Germany",55,"Seven Weeks",1,6,15,1866,7,26,1866,2,1,1,10000,"51.165691","10.451526"
"Hanover",55,"Seven Weeks",2,6,15,1866,6,29,1866,2,2,2,500,"52.3795836","9.6213892"
"Hesse Electoral",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,100,"51.3148025","9.3205324"
"Hesse Grand Ducal",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,100,"50.5210273","7.8846332"
"Mecklenburg Schwerin",55,"Seven Weeks",1,6,15,1866,7,26,1866,2,2,1,100,"53.8765876","10.2605323"
"Saxony",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,600,"51.0764989","13.4924075"
"Wuerttemburg",55,"Seven Weeks",2,6,15,1866,7,26,1866,2,2,2,100,"49.0192919","8.6134372"
"Italy",55,"Seven Weeks",1,6,20,1866,7,26,1866,2,2,1,4000,"41.87194","12.56738"
"Baden",58,"Franco-Prussian",1,7,19,1870,11,22,1870,2,2,1,956,"48.5736354","7.177874"
"Bavaria",58,"Franco-Prussian",1,7,19,1870,11,15,1870,2,2,1,5600,"48.8956655","9.1652866"
"France",58,"Franco-Prussian",2,7,19,1870,2,26,1871,2,1,2,152000,"46.227638","2.213749"
"Germany",58,"Franco-Prussian",1,7,19,1870,2,26,1871,2,2,1,44781,"51.165691","10.451526"
"Wuerttemburg",58,"Franco-Prussian",1,7,19,1870,11,25,1870,2,2,1,976,"49.0192919","8.6134372"
"El Salvador",60,"First Central American",2,3,27,1876,4,25,1876,1,2,2,2000,"13.794185","-88.89653"
"Guatemala",60,"First Central American",1,3,27,1876,4,25,1876,1,1,1,2000,"15.783471","-90.230759"
"Russia",61,"Second Russo-Turkish",1,4,24,1877,1,31,1878,11,1,1,120000,"61.52401","105.318756"
"Turkey",61,"Second Russo-Turkish",2,4,24,1877,1,31,1878,11,2,2,165000,"38.963745","35.243322"
"Bolivia",64,"War of the Pacific",2,2,14,1879,12,11,1883,1,2,2,920,"-16.290154","-63.588653"
"Chile",64,"War of the Pacific",1,2,14,1879,12,11,1883,1,1,1,3276,"-35.675147","-71.542969"
"Peru",64,"War of the Pacific",2,4,5,1879,10,23,1883,1,2,2,9672,"-9.189967","-75.015152"
"Egypt",65,"Conquest of Egypt",2,7,11,1882,9,15,1882,6,2,2,10000,"26.820553","30.802498"
"United Kingdom",65,"Conquest of Egypt",1,7,11,1882,9,15,1882,6,1,1,79,"55.378051","-3.435973"
"China",67,"Sino-French",2,6,15,1884,6,9,1885,7,2,2,10000,"35.86166","104.195397"
"France",67,"Sino-French",1,6,15,1884,6,9,1885,7,1,1,2100,"46.227638","2.213749"
